T,rho_label,rho_value,K,weight_b,method,n,rejection_rate_5,feasible_rate,mean_el_stat,median_el_stat,mean_RE,mean_oracle_var
100,local_to_unity,0.95,6,8.0,intercept_only_bounded,2000,0.1045,1.0,1.4562859728260924,0.6492723492111512,0.9943248653939741,0.07856767535231092
100,local_to_unity,0.95,6,8.0,oracle_bounded,2000,0.062,1.0,1.0668672971111908,0.4674615468690971,0.9941874220998861,0.0712934901047723
100,local_to_unity,0.95,6,8.0,profile_bounded,2000,0.067,1.0,1.1234707136702335,0.49677939513829816,0.9941874220998861,0.0712934901047723
100,local_to_unity,0.95,6,8.0,profile_efficient,2000,0.0675,1.0,1.1270969091199392,0.5108947285624619,1.0,
100,stationary_high,0.95,6,8.0,intercept_only_bounded,2000,0.103,1.0,1.4177185579410363,0.6250823131469398,0.9943156220560055,0.07906231030979263
100,stationary_high,0.95,6,8.0,oracle_bounded,2000,0.054,1.0,1.0247266342150472,0.412676399495551,0.9941679134123422,0.07174676809202823
100,stationary_high,0.95,6,8.0,profile_bounded,2000,0.06,1.0,1.079362745200092,0.44135833517179074,0.9941679134123422,0.07174676809202823
100,stationary_high,0.95,6,8.0,profile_efficient,2000,0.0605,1.0,1.087501586135006,0.4434682006311748,1.0,
100,stationary_low,0.5,6,8.0,intercept_only_bounded,2000,0.139,1.0,1.754058428737561,0.8015569723678589,0.9997723196935654,0.019090574439874067
100,stationary_low,0.5,6,8.0,oracle_bounded,2000,0.0545,1.0,1.0464580530253482,0.4651193058903159,0.9997568057004269,0.016433440423662158
100,stationary_low,0.5,6,8.0,profile_bounded,2000,0.06,1.0,1.0950355430348218,0.4889084287108778,0.9997568057004269,0.016433440423662158
100,stationary_low,0.5,6,8.0,profile_efficient,2000,0.0605,1.0,1.097891924570282,0.48998176785276853,1.0,
100,unit_root,1.0,6,8.0,intercept_only_bounded,2000,0.0955,1.0,1.3751303691880838,0.6108402202633245,0.9491668809426286,0.10558985676048235
100,unit_root,1.0,6,8.0,oracle_bounded,2000,0.063,1.0,1.06446974968855,0.4407953003527646,0.9491342826963862,0.09745744563389953
100,unit_root,1.0,6,8.0,profile_bounded,2000,0.068,1.0,1.125952297286045,0.469721496215245,0.9491342826963862,0.09745744563389953
100,unit_root,1.0,6,8.0,profile_efficient,2000,0.0625,1.0,1.098623590584761,0.46247036079549725,1.0,
250,local_to_unity,0.98,6,8.0,intercept_only_bounded,2000,0.1055,1.0,1.4455927626102494,0.6641849290418463,0.978559096352274,0.14990700392918915
250,local_to_unity,0.98,6,8.0,oracle_bounded,2000,0.0565,1.0,1.0480118748469536,0.47794227732984534,0.978311612230747,0.14400307114440253
250,local_to_unity,0.98,6,8.0,profile_bounded,2000,0.059,1.0,1.0686667069689029,0.48449407794747235,0.978311612230747,0.14400307114440253
250,local_to_unity,0.98,6,8.0,profile_efficient,2000,0.0605,1.0,1.0673388281579177,0.48430639377724904,1.0,
250,stationary_high,0.95,6,8.0,intercept_only_bounded,2000,0.1255,1.0,1.6120537700610609,0.7429667346073219,0.993182788719041,0.10170691830039776
250,stationary_high,0.95,6,8.0,oracle_bounded,2000,0.0465,1.0,0.9860103773806973,0.44479135355534083,0.9930289331412564,0.09643872858116387
250,stationary_high,0.95,6,8.0,profile_bounded,2000,0.0485,1.0,1.0065522504144708,0.45362355113619046,0.9930289331412564,0.09643872858116387
250,stationary_high,0.95,6,8.0,profile_efficient,2000,0.052,1.0,1.0180274321228797,0.4561764181090291,1.0,
250,stationary_low,0.5,6,8.0,intercept_only_bounded,2000,0.232,1.0,2.5629463988072234,1.4570885096927528,0.9997573783378236,0.019728435790014938
250,stationary_low,0.5,6,8.0,oracle_bounded,2000,0.051,1.0,1.0150787625864175,0.44270888985543333,0.9997356105823684,0.0174537885042945
250,stationary_low,0.5,6,8.0,profile_bounded,2000,0.0525,1.0,1.035153010246604,0.45377894922536544,0.9997356105823684,0.0174537885042945
250,stationary_low,0.5,6,8.0,profile_efficient,2000,0.052,1.0,1.0372282497629888,0.45706533351133416,1.0,
250,unit_root,1.0,6,8.0,intercept_only_bounded,2000,0.1,1.0,1.3964106800186247,0.6345169663353347,0.8808819055084539,0.16192868738349342
250,unit_root,1.0,6,8.0,oracle_bounded,2000,0.0525,1.0,1.0375285445754578,0.4707498007576948,0.880702746373822,0.15667182432960022
250,unit_root,1.0,6,8.0,profile_bounded,2000,0.0555,1.0,1.057521204251952,0.4823983661841644,0.880702746373822,0.15667182432960022
250,unit_root,1.0,6,8.0,profile_efficient,2000,0.055,1.0,1.0445864560874851,0.48093401883684195,1.0,
500,local_to_unity,0.99,6,8.0,intercept_only_bounded,2000,0.1075,1.0,1.4848755567286758,0.6720710368546937,0.9499785269089281,0.2304404193421186
500,local_to_unity,0.99,6,8.0,oracle_bounded,2000,0.0585,1.0,1.0753622699825376,0.4504983180849969,0.9497249843330768,0.22579474742489244
500,local_to_unity,0.99,6,8.0,profile_bounded,2000,0.059,1.0,1.087379511591316,0.4591587114626896,0.9497249843330768,0.22579474742489244
500,local_to_unity,0.99,6,8.0,profile_efficient,2000,0.063,1.0,1.0801415200663065,0.44464747652054115,1.0,
500,stationary_high,0.95,6,8.0,intercept_only_bounded,2000,0.165,1.0,1.9893552387845266,1.0142405895891762,0.9926080180265199,0.11320241735175443
500,stationary_high,0.95,6,8.0,oracle_bounded,2000,0.0525,1.0,1.0104294267698648,0.43027268560802556,0.9924398111769477,0.1089141189065731
500,stationary_high,0.95,6,8.0,profile_bounded,2000,0.0555,1.0,1.0212812270660354,0.43183235315355195,0.9924398111769477,0.1089141189065731
500,stationary_high,0.95,6,8.0,profile_efficient,2000,0.0555,1.0,1.0246229382916656,0.4389666990233642,1.0,
500,stationary_low,0.5,6,8.0,intercept_only_bounded,2000,0.373,1.0,3.748884359119186,2.4796004814505617,0.9997506176816086,0.019761761384692517
500,stationary_low,0.5,6,8.0,oracle_bounded,2000,0.0445,1.0,0.9778976942265146,0.4427263080436359,0.9997284521764686,0.01777928109105291
500,stationary_low,0.5,6,8.0,profile_bounded,2000,0.0455,1.0,0.9877730103806921,0.4494943624447243,0.9997284521764686,0.01777928109105291
500,stationary_low,0.5,6,8.0,profile_efficient,2000,0.0445,1.0,0.9870348594661575,0.45091691755483965,1.0,
500,unit_root,1.0,6,8.0,intercept_only_bounded,2000,0.0815,1.0,1.346893944822605,0.6596703679746976,0.8034624273733366,0.2077451327145212
500,unit_root,1.0,6,8.0,oracle_bounded,2000,0.0485,1.0,1.0078616604409552,0.46029800859066705,0.8032695162694371,0.20441438010589225
500,unit_root,1.0,6,8.0,profile_bounded,2000,0.05,1.0,1.0179848684448285,0.4640047541801464,0.8032695162694371,0.20441438010589225
500,unit_root,1.0,6,8.0,profile_efficient,2000,0.0505,1.0,1.0133823144971954,0.4978787768466808,1.0,
