q0,delta,rho_label,rho,method,n,rejection_rate_5,feasible_rate,mean_el_stat,median_p_value,qhat_one_rate,mean_break_abs_error,mean_score_gap,mean_strength
0,0.0,0.50,0.5,estimated,300,0.043333333333333335,1.0,0.9198899743264897,0.5020551893082728,0.03333333333333333,,0.006399098241645597,0.34359703332648406
0,0.0,0.50,0.5,oracle,300,0.04666666666666667,1.0,0.9322559649784038,0.5020551893082728,0.03333333333333333,,0.006399098241645597,0.3439856219765921
0,0.0,0.50,0.5,stable,300,0.04666666666666667,1.0,0.9322559649784038,0.5020551893082728,0.03333333333333333,,0.006399098241645597,0.3439856219765921
0,0.0,0.90,0.9,estimated,300,0.04,1.0,0.9888993566889364,0.4636969866039716,0.03666666666666667,,0.01592569908902068,0.5423325619131467
0,0.0,0.90,0.9,oracle,300,0.03666666666666667,1.0,0.9698332884618681,0.47840500428637334,0.03666666666666667,,0.01592569908902068,0.5448038460531617
0,0.0,0.90,0.9,stable,300,0.03666666666666667,1.0,0.9698332884618681,0.47840500428637334,0.03666666666666667,,0.01592569908902068,0.5448038460531617
0,0.0,0.98,0.98,estimated,300,0.056666666666666664,1.0,1.119318970075968,0.4642079259870448,0.016666666666666666,,0.0033278486120802103,0.5633148734942414
0,0.0,0.98,0.98,oracle,300,0.06,1.0,1.1354895119330102,0.463353736834761,0.016666666666666666,,0.0033278486120802103,0.5645805918712489
0,0.0,0.98,0.98,stable,300,0.06,1.0,1.1354895119330102,0.463353736834761,0.016666666666666666,,0.0033278486120802103,0.5645805918712489
0,0.0,1.00,1.0,estimated,300,0.09333333333333334,1.0,1.2343199402523601,0.43638336195545663,0.03333333333333333,,0.009541963803165797,0.37004340328144836
0,0.0,1.00,1.0,oracle,300,0.09,1.0,1.220061075701867,0.4419231435514036,0.03333333333333333,,0.009541963803165797,0.37421236680546655
0,0.0,1.00,1.0,stable,300,0.09,1.0,1.220061075701867,0.4419231435514036,0.03333333333333333,,0.009541963803165797,0.37421236680546655
1,1.25,0.50,0.5,estimated,300,0.06,1.0,1.0132197518125416,0.4912241015486696,1.0,1.5466666666666666,0.052209142828219084,0.3375365366310378
1,1.25,0.50,0.5,oracle,300,0.05,1.0,0.9823408594256939,0.49650447305483897,1.0,1.5466666666666666,0.052209142828219084,0.3375741116090959
1,1.25,0.50,0.5,stable,300,0.13333333333333333,1.0,1.5692958009357354,0.41308724817844533,1.0,1.5466666666666666,0.052209142828219084,0.34706687334105807
1,1.25,0.90,0.9,estimated,300,0.07666666666666666,1.0,1.0891125629858,0.4788047888464918,1.0,2.0,0.17032365959304482,0.5007464761991234
1,1.25,0.90,0.9,oracle,300,0.07333333333333333,1.0,1.0849714763874079,0.4816243035882584,1.0,2.0,0.17032365959304482,0.5000023622088037
1,1.25,0.90,0.9,stable,300,0.39666666666666667,1.0,4.992088535477657,0.13311583138884642,1.0,2.0,0.17032365959304482,0.5433840795173818
1,1.25,0.98,0.98,estimated,300,0.056666666666666664,1.0,1.1187192762411509,0.4706042301747178,1.0,1.2133333333333334,0.4171971528975792,0.4502497685904489
1,1.25,0.98,0.98,oracle,300,0.056666666666666664,1.0,1.1421997751320199,0.48004034844945564,1.0,1.2133333333333334,0.4171971528975792,0.45039707614351915
1,1.25,0.98,0.98,stable,300,0.6533333333333333,1.0,13.917469935804256,0.0022072659990078347,1.0,1.2133333333333334,0.4171971528975792,0.5727042280720596
1,1.25,1.00,1.0,estimated,300,0.08666666666666667,1.0,1.2753297469223301,0.44994008504934174,1.0,1.3733333333333333,0.09041970460584944,0.25151547991365586
1,1.25,1.00,1.0,oracle,300,0.09,1.0,1.2899214246510418,0.45109137498226176,1.0,1.3733333333333333,0.09041970460584944,0.2515751970320842
1,1.25,1.00,1.0,stable,300,0.6933333333333334,1.0,14.977746346491713,0.002814958565381054,1.0,1.3733333333333333,0.09041970460584944,0.35715835205942326
