T,rho_label,rho_value,K,weight_b,method,n,mean_RE,rejection_rate_5,feasible_rate,mean_el_stat,mean_oracle_var,mean_instrument_var,mean_efficient_var,size_distortion_5
250,local_to_unity,0.98,6,0.25,profile_bounded_frontier,2000,0.599020419919505,0.056,1.0,1.0509251376544098,0.7163519587058852,0.7171945576907861,15.321012068131605,0.005999999999999998
250,local_to_unity,0.98,6,0.5,profile_bounded_frontier,2000,0.6296635628587556,0.0565,1.0,1.0474900458902754,0.6767161339859139,0.6773429531630151,15.321012068131605,0.006499999999999999
250,local_to_unity,0.98,6,1.0,profile_bounded_frontier,2000,0.6884484510545029,0.0585,1.0,1.0352762903588055,0.6034512031814709,0.6036536979569123,15.321012068131605,0.0085
250,local_to_unity,0.98,6,2.0,profile_bounded_frontier,2000,0.7876700584149137,0.0565,1.0,1.0189624055457978,0.4805596211163574,0.4802313872973942,15.321012068131605,0.006499999999999999
250,local_to_unity,0.98,6,4.0,profile_bounded_frontier,2000,0.9058713914645004,0.0555,1.0,1.014032441903732,0.31104354460606853,0.31068036353882056,15.321012068131605,0.005499999999999998
250,local_to_unity,0.98,6,8.0,profile_bounded_frontier,2000,0.978482134904681,0.0535,1.0,1.0189331993444044,0.14787245640959212,0.14769208926197833,15.321012068131605,0.003499999999999996
250,stationary_high,0.95,6,0.25,profile_bounded_frontier,2000,0.6543642278472396,0.0555,1.0,1.0273796695850506,0.8028590635244691,0.8015088576044489,8.034053492542098,0.005499999999999998
250,stationary_high,0.95,6,0.5,profile_bounded_frontier,2000,0.695451978805996,0.0545,1.0,1.025804977008962,0.7427385965719624,0.7415822323219838,8.034053492542098,0.004499999999999997
250,stationary_high,0.95,6,1.0,profile_bounded_frontier,2000,0.767791083833522,0.058,1.0,1.0283617053090575,0.6331948625996975,0.6319209540309815,8.034053492542098,0.008
250,stationary_high,0.95,6,2.0,profile_bounded_frontier,2000,0.8693033064016495,0.059,1.0,1.0311527641821912,0.4586133911544489,0.4573154955717241,8.034053492542098,0.008999999999999994
250,stationary_high,0.95,6,4.0,profile_bounded_frontier,2000,0.9570712867188673,0.055,1.0,1.0294950199128665,0.25136848241997434,0.2505896501444011,8.034053492542098,0.0049999999999999975
250,stationary_high,0.95,6,8.0,profile_bounded_frontier,2000,0.9929409769328302,0.0565,1.0,1.03214796559976,0.09782914305975146,0.09750164245988721,8.034053492542098,0.006499999999999999
250,unit_root,1.0,6,0.25,profile_bounded_frontier,2000,0.4034680270993115,0.1035,1.0,1.394436790497212,0.45806373333735423,0.45749798698478306,40.635590950618464,0.05349999999999999
250,unit_root,1.0,6,0.5,profile_bounded_frontier,2000,0.42382394265275375,0.096,1.0,1.3521675332020633,0.43659499710345473,0.43624227942079385,40.635590950618464,0.046
250,unit_root,1.0,6,1.0,profile_bounded_frontier,2000,0.46702022208036426,0.0835,1.0,1.2636768816238348,0.397898860709095,0.3975535529736133,40.635590950618464,0.0335
250,unit_root,1.0,6,2.0,profile_bounded_frontier,2000,0.5552606224421482,0.066,1.0,1.1283512329368843,0.33460218507390943,0.33406185345688616,40.635590950618464,0.016
250,unit_root,1.0,6,4.0,profile_bounded_frontier,2000,0.7068660440642697,0.055,1.0,1.0275000569545405,0.24776134450122697,0.24731014899547646,40.635590950618464,0.0049999999999999975
250,unit_root,1.0,6,8.0,profile_bounded_frontier,2000,0.8755838206017245,0.0535,1.0,1.0041136098126207,0.15481100587322058,0.15451744686892124,40.635590950618464,0.003499999999999996
